,BUP_NI,BUPC_NI,MET_NI,METC_NI,REL_NI,ABS_NI,BUP_INJ,BUPC_INJ,MET_INJ,METC_INJ,REL_INJ,ABS_INJ
BUP_NI,0,0.511627907,0.023255814,0.023255814,0.162790698,0.279069767,0,0,0,0,0,0
BUPC_NI,0.461538462,0,0,0.102564103,0.230769231,0.205128205,0,0,0,0,0,0
MET_NI,0.04,0,0,0.52,0.2,0.24,0,0,0,0,0,0
METC_NI,0,0.029411765,0.411764706,0,0.411764706,0.147058824,0,0,0,0,0,0
REL_NI,0.090909091,0.204545455,0.045454545,0.568181818,0,0.090909091,0,0,0,0,0,0
ABS_NI,0.217391304,0.043478261,0.130434783,0.086956522,0.52173913,0,0,0,0,0,0,0
ODN_NI,0.036468371,0.082053834,0.018234185,0.227927316,0.598847924,0.036468371,0,0,0,0,0,0
BUP_INJ,0,0,0,0,0,0,0,0.511627907,0.023255814,0.023255814,0.162790698,0.279069767
BUPC_INJ,0,0,0,0,0,0,0.461538462,0,0,0.102564103,0.230769231,0.205128205
MET_INJ,0,0,0,0,0,0,0.04,0,0,0.52,0.2,0.24
METC_INJ,0,0,0,0,0,0,0,0.029411765,0.411764706,0,0.411764706,0.147058824
REL_INJ,0,0,0,0,0,0,0.090909091,0.204545455,0.045454545,0.568181818,0,0.090909091
ABS_INJ,0,0,0,0,0,0,0.217391304,0.043478261,0.130434783,0.086956522,0.52173913,0
ODN_INJ,0,0,0,0,0,0,0.036468371,0.082053834,0.018234185,0.227927316,0.598847924,0.036468371
