"","x"
"1",0.0672078592376
"2",0.0696872635546761
"3",0.0670501341587226
"4",0.0696404310534486
"5",0.0724840666845357
"6",0.0663875489810439
"7",0.0724840666845357
"8",0.00361263714334369
"9",0.00374591304635333
"10",0.00360415891646885
"11",0.0037433956497963
"12",0.00389625014954584
"13",0.00356854284640405
"14",0.00389625014954584
"15",0.267729530233917
"16",0.274330183975717
"17",0.267306168307697
"18",0.274206452371949
"19",0.281653913382392
"20",0.265523117117099
"21",0.281653913382392
"22",0.0143913175670963
"23",0.0147461237928634
"24",0.0143685605110453
"25",0.0147394728238748
"26",0.0151397976456313
"27",0.014272715813227
"28",0.0151397976456313
"29",0.0721466726171378
"30",0.114964182231693
"31",0.0710655187338828
"32",0.114298307983208
"33",0.109789021675875
"34",0.0663875489810439
"35",0.0038781141405485
"36",0.00617969207166756
"37",0.0038199986653552
"38",0.00614389920353932
"39",0.00590151065867805
"40",0.00356854284640405
"41",0.28077720918044
"42",0.378217692538108
"43",0.27795534032402
"44",0.376900806915381
"45",0.367828557444557
"46",0.265523117117099
"47",0.0150926719939646
"48",0.0203304092680948
"49",0.0149409875278919
"50",0.0202596224588114
"51",0.0197719600665886
"52",0.014272715813227
